From Win10 22H2.

api-ms-onecoreuap-print-render-l1-1-0 -> printrenderapihost.dll
api-ms-onecoreuap-settingsync-status-l1-1-0 -> settingsynccore.dll
api-ms-win-appmodel-identity-l1-2-0 -> kernel.appcore.dll
api-ms-win-appmodel-runtime-internal-l1-1-5 -> kernel.appcore.dll
api-ms-win-appmodel-runtime-l1-1-2 -> kernel.appcore.dll
api-ms-win-appmodel-state-l1-1-2 -> kernel.appcore.dll
api-ms-win-appmodel-state-l1-2-0 -> kernel.appcore.dll
api-ms-win-appmodel-unlock-l1-1-0 -> kernel.appcore.dll
api-ms-win-base-bootconfig-l1-1-0 -> advapi32.dll
api-ms-win-base-util-l1-1-0 -> advapi32.dll
api-ms-win-composition-redirection-l1-1-0 -> dwmredir.dll
api-ms-win-composition-windowmanager-l1-1-0 -> udwm.dll
api-ms-win-containers-cmclient-l1-1-0 -> cmclient.dll
api-ms-win-core-apiquery-l1-1-1 -> ntdll.dll
api-ms-win-core-apiquery-l2-1-0 -> kernelbase.dll
api-ms-win-core-appcompat-l1-1-1 -> kernelbase.dll
api-ms-win-core-appinit-l1-1-0 -> kernel32.dll
api-ms-win-core-appinit-l1-1-0 -> kernelbase.dll
api-ms-win-core-atoms-l1-1-0 -> kernel32.dll
api-ms-win-core-backgroundtask-l1-1-0 -> kernelbase.dll
api-ms-win-core-bicltapi-l1-1-5 -> bi.dll
api-ms-win-core-biplmapi-l1-1-5 -> twinapi.appcore.dll
api-ms-win-core-biptcltapi-l1-1-7 -> twinapi.appcore.dll
api-ms-win-core-calendar-l1-1-0 -> kernel32.dll
api-ms-win-core-com-l1-1-2 -> combase.dll
api-ms-win-core-com-l2-1-1 -> coml2.dll
api-ms-win-core-com-midlproxystub-l1-1-0 -> combase.dll
api-ms-win-core-com-private-l1-1-1 -> combase.dll
api-ms-win-core-com-private-l1-2-0 -> combase.dll
api-ms-win-core-comm-l1-1-2 -> kernelbase.dll
api-ms-win-core-console-ansi-l2-1-0 -> kernel32.dll
api-ms-win-core-console-l1-1-0 -> kernelbase.dll
api-ms-win-core-console-l1-2-1 -> kernelbase.dll
api-ms-win-core-console-l2-1-0 -> kernelbase.dll
api-ms-win-core-console-l2-2-0 -> kernelbase.dll
api-ms-win-core-console-l3-1-0 -> kernelbase.dll
api-ms-win-core-console-l3-2-0 -> kernelbase.dll
api-ms-win-core-crt-l1-1-0 -> ntdll.dll
api-ms-win-core-crt-l2-1-0 -> kernelbase.dll
api-ms-win-core-datetime-l1-1-2 -> kernelbase.dll
api-ms-win-core-debug-l1-1-2 -> kernelbase.dll
api-ms-win-core-debug-minidump-l1-1-0 -> dbgcore.dll
api-ms-win-core-delayload-l1-1-1 -> kernelbase.dll
api-ms-win-core-enclave-l1-1-1 -> kernelbase.dll
api-ms-win-core-errorhandling-l1-1-3 -> kernelbase.dll
api-ms-win-core-featurestaging-l1-1-1 -> shcore.dll
api-ms-win-core-fibers-l1-1-1 -> kernelbase.dll
api-ms-win-core-fibers-l2-1-1 -> kernelbase.dll
api-ms-win-core-file-ansi-l1-1-0 -> kernel32.dll
api-ms-win-core-file-ansi-l2-1-0 -> kernel32.dll
api-ms-win-core-file-fromapp-l1-1-0 -> windows.storage.onecore.dll
